region;period;sector;value;unit;value_pCap;unit_pCap
DEU;2045;trn_pass;1188.78743528076;billion pkm/yr;14593.2085040925;pkm/yr pCap
DEU;2045;trn_shipping_intl;1008.66774121648;billion tkm/yr;12382.1115719041;tkm/yr pCap
DEU;2050;trn_aviation_intl;229.176901956234;billion pkm/yr;2829.46862394609;pkm/yr pCap
DEU;2050;trn_freight;755.480311058065;billion tkm/yr;9327.32669785391;tkm/yr pCap
DEU;2050;trn_pass;1194.88127171739;billion pkm/yr;14752.2679589709;pkm/yr pCap
DEU;2050;trn_shipping_intl;1019.78187539671;billion tkm/yr;12590.4521575867;tkm/yr pCap
DEU;2055;trn_aviation_intl;236.936821546063;billion pkm/yr;2944.26113842531;pkm/yr pCap
DEU;2055;trn_freight;783.174579347256;billion tkm/yr;9732.00561874859;tkm/yr pCap
DEU;2055;trn_pass;1199.79009557457;billion pkm/yr;14909.0180648897;pkm/yr pCap
DEU;2055;trn_shipping_intl;1029.96341389547;billion tkm/yr;12798.6913715847;tkm/yr pCap
DEU;2060;trn_aviation_intl;243.488462735296;billion pkm/yr;3046.82309061358;pkm/yr pCap
DEU;2060;trn_freight;808.799993245967;billion tkm/yr;10120.6869000151;tkm/yr pCap
DEU;2060;trn_pass;1204.16224999894;billion pkm/yr;15067.9391825251;pkm/yr pCap
DEU;2060;trn_shipping_intl;1039.63189943693;billion tkm/yr;13009.1357978898;tkm/yr pCap
DEU;2070;trn_aviation_intl;252.680865206983;billion pkm/yr;3207.68865626514;pkm/yr pCap
DEU;2070;trn_freight;854.4259660323;billion tkm/yr;10846.6166467141;tkm/yr pCap
DEU;2070;trn_pass;1213.73512773186;billion pkm/yr;15407.9114686695;pkm/yr pCap
DEU;2070;trn_shipping_intl;1058.26392843398;billion tkm/yr;13434.2630012431;tkm/yr pCap
DEU;2080;trn_aviation_intl;256.946399354866;billion pkm/yr;3313.58027733025;pkm/yr pCap
DEU;2080;trn_freight;890.153607592825;billion tkm/yr;11479.4192303131;tkm/yr pCap
DEU;2080;trn_pass;1220.50133002443;billion pkm/yr;15739.5828304208;pkm/yr pCap
DEU;2080;trn_shipping_intl;1074.24286179813;billion tkm/yr;13853.4339023797;tkm/yr pCap
DEU;2090;trn_aviation_intl;254.589479403799;billion pkm/yr;3364.03080165633;pkm/yr pCap
DEU;2090;trn_freight;910.941573483935;billion tkm/yr;12036.7719785027;tkm/yr pCap
DEU;2090;trn_pass;1213.37403954325;billion pkm/yr;16032.9784738653;pkm/yr pCap
DEU;2090;trn_shipping_intl;1084.72783820054;billion tkm/yr;14333.105467147;tkm/yr pCap
DEU;2100;trn_aviation_intl;247.898387943659;billion pkm/yr;3373.04153304008;pkm/yr pCap
